protein,go_term
P05106,GO:0005634
P05106,GO:0005886
P05106,GO:0005911
P05106,GO:0005925
P05106,GO:0007155
P05106,GO:0007160
P05106,GO:0007229
P05106,GO:0007566
P05106,GO:0007596
P05106,GO:0008305
P05106,GO:0009897
P05106,GO:0009986
P05106,GO:0010595
P05106,GO:0010628
P05106,GO:0010745
P05106,GO:0010763
P05106,GO:0010888
P05106,GO:0010989
P05106,GO:0014823
P05106,GO:0014909
P05106,GO:0014911
P05106,GO:0015026
P05106,GO:0016324
P05106,GO:0016477
P05106,GO:0019899
P05106,GO:0030168
P05106,GO:0030949
P05106,GO:0031092
P05106,GO:0031258
P05106,GO:0031527
P05106,GO:0031528
P05106,GO:0031589
P05106,GO:0032369
P05106,GO:0032587
P05106,GO:0032880
P05106,GO:0032956
P05106,GO:0032991
P05106,GO:0033627
P05106,GO:0033630
P05106,GO:0033631
P05106,GO:0033690
P05106,GO:0034113
P05106,GO:0034446
P05106,GO:0034683
P05106,GO:0035295
P05106,GO:0035313
P05106,GO:0035866
P05106,GO:0035867
